tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
gru_no_known,42,74,1110,26.57901039123535,67.60838317871094,388.8409729003906,0.0,83.48947142243232,166.84140014648438
gru_no_known,42,75,1125,26.872810745239256,68.84162902832031,389.04022216796875,0.0,82.48961466838561,166.36337280273438
gru_no_known,42,76,1140,26.577670669555665,67.69561004638672,388.88739013671875,0.0,83.8733705772812,168.39285278320312
gru_no_known,42,77,1155,26.78477363586426,68.6368179321289,388.9941711425781,0.0,81.99111875089528,163.70230102539062
gru_no_known,42,78,1170,26.53323860168457,67.66943359375,388.8459167480469,0.0,84.03094112591319,168.23777770996094
gru_no_known,42,79,1185,26.86417007446289,69.0243911743164,389.06011962890625,0.0,80.79358258129207,159.618408203125
gru_no_known,42,80,1200,26.552767181396483,67.89141082763672,388.884765625,0.0,83.75877381463972,167.14474487304688
gru_no_known,42,81,1215,27.71463623046875,71.82293701171875,389.56683349609375,0.0,75.31299240796447,149.9463348388672
gru_no_known,42,82,1230,26.699447250366212,68.6675796508789,388.9767150878906,0.0,81.88511674545194,161.35325622558594
gru_no_known,42,83,1245,27.807020568847655,71.94412994384766,389.51654052734375,0.0,74.18994413407822,149.11766052246094
gru_no_known,42,84,1260,26.70601692199707,68.74795532226562,388.37896728515625,0.0,81.68743732989543,161.76687622070312
gru_no_known,42,85,1275,27.689947891235352,71.46515655517578,388.88873291015625,0.0,73.99799455665378,148.75865173339844
gru_no_known,42,86,1290,27.066932678222656,70.04786682128906,388.62603759765625,0.0,78.71365133934967,154.17848205566406
gru_no_known,42,87,1305,27.517999267578126,70.733154296875,388.7071838378906,0.0,74.1498352671537,148.8382110595703
gru_no_known,42,88,1320,27.08281707763672,70.03401947021484,388.6550598144531,0.0,78.03466552069904,152.65650939941406
gru_no_known,42,89,1335,27.39459991455078,70.28659057617188,388.6131896972656,0.0,74.50508523134222,149.1487579345703
gru_no_known,42,90,1350,26.98918342590332,69.56912231445312,388.4916687011719,0.0,77.7080647471709,151.90777587890625
gru_no_known,42,91,1365,27.128966903686525,69.39580535888672,388.32379150390625,0.0,75.35310127488899,149.3361053466797
gru_no_known,42,92,1380,26.848798751831055,69.02470397949219,388.48443603515625,0.0,78.23520985532159,152.64370727539062
gru_no_known,42,93,1395,27.03756675720215,69.24735260009766,388.4804992675781,0.0,76.3930668958602,150.56570434570312
gru_no_known,42,94,1410,26.83572425842285,68.7790756225586,388.4801330566406,0.0,78.00601633003868,152.54635620117188
gru_no_known,42,95,1425,26.991001892089844,68.95539093017578,388.51129150390625,0.0,76.74545194098266,150.63002014160156
gru_no_known,42,96,1440,26.776203918457032,68.51646423339844,388.6025695800781,0.0,78.74516544907605,153.90264892578125
mrinn_rolling,42,1,15,26.345723342895507,68.71721649169922,390.0484619140625,0.0,81.80817473421975,161.21705627441406
mrinn_rolling,42,2,30,26.33543128967285,68.8515396118164,389.8429870605469,0.0,81.04052605660323,158.38050842285156
mrinn_rolling,42,3,45,26.41404609680176,68.9102554321289,389.8747253417969,0.0,80.23521914197156,156.40328979492188
mrinn_rolling,42,4,60,26.398444366455077,68.88660430908203,389.9216003417969,0.0,82.12971814257988,164.11105346679688
mrinn_rolling,42,5,75,26.512161636352538,69.15094757080078,389.9649963378906,0.0,81.62857391153211,162.04759216308594
mrinn_rolling,42,6,90,26.47488021850586,69.13166809082031,389.9342346191406,0.0,82.41939688885026,165.11622619628906
mrinn_rolling,42,7,105,26.531250762939454,69.2061767578125,390.0937194824219,0.0,81.08977144346919,160.3098907470703
mrinn_rolling,42,8,120,26.49995536804199,69.14881896972656,390.0486145019531,0.0,81.62567712406941,161.83631896972656
mrinn_rolling,42,9,135,26.57008590698242,69.1832046508789,390.03302001953125,0.0,80.74215694794474,159.8779296875
mrinn_rolling,42,10,150,26.523050689697264,69.18342590332031,390.036865234375,0.0,82.31511254019293,165.30484008789062
mrinn_rolling,42,11,165,26.55892868041992,69.18951416015625,390.00421142578125,0.0,79.20106601778627,154.65701293945312
mrinn_rolling,42,12,180,26.471455764770507,69.07562255859375,389.997802734375,0.0,80.91017062078156,159.72848510742188
mrinn_rolling,42,13,195,26.516152572631835,69.05980682373047,389.9348449707031,0.0,79.32562787868254,155.14520263671875
mrinn_rolling,42,14,210,26.48693733215332,69.11984252929688,389.9868469238281,0.0,80.74215694794474,159.3169403076172
mrinn_rolling,42,15,225,26.553836059570312,69.15503692626953,390.00445556640625,0.0,80.96520958257292,160.12100219726562
mrinn_rolling,42,16,240,26.4918643951416,69.15485382080078,389.9793395996094,0.0,80.78560875988529,158.90977478027344
mrinn_rolling,42,17,255,26.58340072631836,69.15731811523438,389.9809875488281,0.0,79.13733669360678,154.27069091796875
mrinn_rolling,42,18,270,26.473046875,69.05326080322266,389.91448974609375,0.0,81.79369079690623,162.6258544921875
mrinn_rolling,42,19,285,26.579100036621092,69.27188873291016,389.98089599609375,0.0,79.83835925958113,156.19569396972656
